Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
199,0.0067,9.95e-05,3.376068376068376,199,N/A,N/A
200,0.0015,0.0001,3.393162393162393,200,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9850746268656716,0.9805860805860807
201,0.0003,9.687500000000001e-05,3.41025641025641,201,N/A,N/A
202,0.0266,9.375e-05,3.427350427350427,202,N/A,N/A
203,0.0002,9.062500000000001e-05,3.4444444444444446,203,N/A,N/A
204,0.0001,8.75e-05,3.4615384615384617,204,N/A,N/A
205,0.0004,8.4375e-05,3.4786324786324787,205,N/A,N/A
206,0.0001,8.125000000000001e-05,3.4957264957264957,206,N/A,N/A
207,0.0002,7.8125e-05,3.5128205128205128,207,N/A,N/A
208,0.0001,7.500000000000001e-05,3.52991452991453,208,N/A,N/A
209,0.1136,7.1875e-05,3.547008547008547,209,N/A,N/A
210,0.4081,6.875e-05,3.564102564102564,210,N/A,N/A
211,0.0002,6.562500000000001e-05,3.5811965811965814,211,N/A,N/A
212,0.0001,6.25e-05,3.5982905982905984,212,N/A,N/A
213,0.3321,5.9375e-05,3.6153846153846154,213,N/A,N/A
214,0.0002,5.6250000000000005e-05,3.6324786324786325,214,N/A,N/A
215,0.0002,5.3125000000000004e-05,3.6495726495726495,215,N/A,N/A
216,0.0002,5e-05,3.6666666666666665,216,N/A,N/A
217,0.0003,4.6875e-05,3.683760683760684,217,N/A,N/A
218,0.0004,4.375e-05,3.700854700854701,218,N/A,N/A
219,0.001,4.0625000000000005e-05,3.717948717948718,219,N/A,N/A
220,0.0003,3.7500000000000003e-05,3.735042735042735,220,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9776119402985075,0.9725906277630415
221,0.4901,3.4375e-05,3.752136752136752,221,N/A,N/A
222,0.0002,3.125e-05,3.769230769230769,222,N/A,N/A
223,0.0002,2.8125000000000003e-05,3.786324786324786,223,N/A,N/A
224,0.0004,2.5e-05,3.8034188034188032,224,N/A,N/A
225,0.6295,2.1875e-05,3.8205128205128203,225,N/A,N/A
226,0.006,1.8750000000000002e-05,3.8376068376068377,226,N/A,N/A
227,0.0106,1.5625e-05,3.8547008547008548,227,N/A,N/A
228,0.0004,1.25e-05,3.871794871794872,228,N/A,N/A
229,0.3996,9.375000000000001e-06,3.888888888888889,229,N/A,N/A
230,0.0004,6.25e-06,3.905982905982906,230,N/A,N/A
231,0.0013,3.125e-06,3.9230769230769234,231,N/A,N/A
232,0.0002,0.0,3.9401709401709404,232,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9850187265917603,0.9753968253968253
N/A,N/A,N/A,N/A,N/A,0.9456521739130435,0.96
